Model,DPO4054
Firmware Version,2.68

Waveform Type,ANALOG
Point Format,Y
Horizontal Units,Hz
Horizontal Scale,1.25e+08
Horizontal Delay,6.25e+08
Sample Interval,1.25e+06
Record Length,1000
Gating,0.0% to 100.0%
Probe Attenuation,1
Vertical Units,dB
Vertical Offset,0
Vertical Scale,20
Vertical Position,3
,
,
,
Label,
FREQUENCY,"MATH<FFT(CH1, HANNING, LOGRMS)>"
0.000e+00,-1.89687
1.250e+06,-3.40937
2.500e+06,-4.92188
3.750e+06,-27.2188
5.000e+06,-49.5125
6.250e+06,-53.1719
7.500e+06,-56.8281
8.750e+06,-57.8406
1.000e+07,-58.85
1.125e+07,-58.7344
1.250e+07,-58.6156
1.375e+07,-56.8406
1.500e+07,-55.0625
1.625e+07,-60.5688
1.750e+07,-66.075
1.875e+07,-56.7844
2.000e+07,-47.4937
2.125e+07,-46.6
2.250e+07,-45.7062
2.375e+07,-51.3219
2.500e+07,-56.9375
2.625e+07,-55.5875
2.750e+07,-54.2344
2.875e+07,-54.0781
3.000e+07,-53.9188
3.125e+07,-63.85
3.250e+07,-73.7781
3.375e+07,-63.8469
3.500e+07,-53.9156
3.625e+07,-55.925
3.750e+07,-57.9344
3.875e+07,-54.6063
4.000e+07,-51.275
4.125e+07,-49.4094
4.250e+07,-47.5438
4.375e+07,-47.325
4.500e+07,-47.1031
4.625e+07,-48.9781
4.750e+07,-50.8531
4.875e+07,-52.8281
5.000e+07,-54.8
5.125e+07,-51.6187
5.250e+07,-48.4344
5.375e+07,-48.5812
5.500e+07,-48.725
5.625e+07,-51.4781
5.750e+07,-54.2313
5.875e+07,-54.4156
6.000e+07,-54.5969
6.125e+07,-56.9844
6.250e+07,-59.3719
6.375e+07,-58.4219
6.500e+07,-57.4719
6.625e+07,-57.6187
6.750e+07,-57.7625
6.875e+07,-58.5063
7.000e+07,-59.25
7.125e+07,-58.3312
7.250e+07,-57.4094
7.375e+07,-59.0281
7.500e+07,-60.6469
7.625e+07,-56.2938
7.750e+07,-51.9406
7.875e+07,-52.2969
8.000e+07,-52.65
8.125e+07,-52.6031
8.250e+07,-52.5531
8.375e+07,-51.6875
8.500e+07,-50.8188
8.625e+07,-55.8188
8.750e+07,-60.8188
8.875e+07,-56.4031
9.000e+07,-51.9844
9.125e+07,-52.3438
9.250e+07,-52.7031
9.375e+07,-56.5063
9.500e+07,-60.3062
9.625e+07,-59.0312
9.750e+07,-57.7563
9.875e+07,-56.4312
1.000e+08,-55.1063
1.013e+08,-53.1
1.025e+08,-51.0938
1.038e+08,-50.4594
1.050e+08,-49.8219
1.063e+08,-54.1313
1.075e+08,-58.4375
1.088e+08,-57.0688
1.100e+08,-55.6969
1.113e+08,-53.6
1.125e+08,-51.5
1.138e+08,-54.6313
1.150e+08,-57.7625
1.162e+08,-60.6156
1.175e+08,-63.4688
1.188e+08,-61.7
1.200e+08,-59.9312
1.212e+08,-64.1219
1.225e+08,-68.3094
1.238e+08,-60.7031
1.250e+08,-53.0969
1.262e+08,-51.5844
1.275e+08,-50.0719
1.288e+08,-52.3
1.300e+08,-54.5281
1.313e+08,-56.3188
1.325e+08,-58.1063
1.338e+08,-57.9188
1.350e+08,-57.7313
1.363e+08,-60.2594
1.375e+08,-62.7844
1.388e+08,-58.0375
1.400e+08,-53.2875
1.412e+08,-54.1656
1.425e+08,-55.0406
1.438e+08,-54.8844
1.450e+08,-54.7281
1.462e+08,-53.8094
1.475e+08,-52.8906
1.488e+08,-55.6688
1.500e+08,-58.4438
1.512e+08,-54.0844
1.525e+08,-49.7219
1.538e+08,-53.1625
1.550e+08,-56.6031
1.563e+08,-54.95
1.575e+08,-53.2938
1.588e+08,-53.9844
1.600e+08,-54.6719
1.612e+08,-60.4
1.625e+08,-66.1281
1.638e+08,-58.95
1.650e+08,-51.7719
1.663e+08,-53.2094
1.675e+08,-54.6469
1.688e+08,-56.2687
1.700e+08,-57.8875
1.712e+08,-53.2844
1.725e+08,-48.6781
1.738e+08,-51.5531
1.750e+08,-54.4281
1.763e+08,-56
1.775e+08,-57.5719
1.788e+08,-56.9594
1.800e+08,-56.3438
1.812e+08,-54.0688
1.825e+08,-51.7906
1.838e+08,-49.6094
1.850e+08,-47.425
1.863e+08,-48.5156
1.875e+08,-49.6031
1.888e+08,-52.7906
1.900e+08,-55.9781
1.913e+08,-52.7625
1.925e+08,-49.5469
1.938e+08,-49.0531
1.950e+08,-48.5594
1.962e+08,-47.3281
1.975e+08,-46.0938
1.988e+08,-46.0125
2.000e+08,-45.9281
2.013e+08,-48.6594
2.025e+08,-51.3875
2.038e+08,-52.9937
2.050e+08,-54.6
2.062e+08,-55.0781
2.075e+08,-55.5531
2.088e+08,-52.5531
2.100e+08,-49.55
2.113e+08,-52.275
2.125e+08,-55
2.138e+08,-57.4094
2.150e+08,-59.8156
2.162e+08,-57.2594
2.175e+08,-54.7
2.188e+08,-53.9969
2.200e+08,-53.2906
2.213e+08,-51.4
2.225e+08,-49.5063
2.238e+08,-47.9594
2.250e+08,-46.4094
2.262e+08,-46.9688
2.275e+08,-47.5281
2.288e+08,-54.8656
2.300e+08,-62.2
2.313e+08,-57.8281
2.325e+08,-53.4562
2.338e+08,-58.5688
2.350e+08,-63.6812
2.363e+08,-66.4656
2.375e+08,-69.25
2.388e+08,-64.1656
2.400e+08,-59.0781
2.412e+08,-56.1094
2.425e+08,-53.1406
2.438e+08,-54.6969
2.450e+08,-56.2531
2.463e+08,-55.3687
2.475e+08,-54.4813
2.488e+08,-54.5312
2.500e+08,-54.5781
2.512e+08,-54.6469
2.525e+08,-54.7156
2.538e+08,-61.2094
2.550e+08,-67.7031
2.563e+08,-59.9781
2.575e+08,-52.25
2.588e+08,-52.6156
2.600e+08,-52.9813
2.612e+08,-52.4156
2.625e+08,-51.85
2.638e+08,-51.7719
2.650e+08,-51.6906
2.663e+08,-52.2781
2.675e+08,-52.8656
2.688e+08,-54.3469
2.700e+08,-55.8281
2.713e+08,-53.8969
2.725e+08,-51.9625
2.738e+08,-53.8906
2.750e+08,-55.8156
2.762e+08,-64.1937
2.775e+08,-72.5719
2.788e+08,-66.4
2.800e+08,-60.2281
2.813e+08,-56.7437
2.825e+08,-53.2563
2.838e+08,-58.2094
2.850e+08,-63.1625
2.862e+08,-56.525
2.875e+08,-49.8844
2.888e+08,-50.2812
2.900e+08,-50.675
2.913e+08,-51.425
2.925e+08,-52.1719
2.938e+08,-51.3937
2.950e+08,-50.6125
2.962e+08,-50.6094
2.975e+08,-50.6063
2.988e+08,-52.6875
3.000e+08,-54.7656
3.012e+08,-58.2656
3.025e+08,-61.7656
3.038e+08,-56.7094
3.050e+08,-51.6531
3.063e+08,-51.0438
3.075e+08,-50.4312
3.088e+08,-60.4937
3.100e+08,-70.5531
3.112e+08,-62.2625
3.125e+08,-53.9719
3.138e+08,-55.0531
3.150e+08,-56.1313
3.162e+08,-54.4875
3.175e+08,-52.8406
3.188e+08,-51.1125
3.200e+08,-49.3844
3.213e+08,-51.3656
3.225e+08,-53.3469
3.238e+08,-55.7469
3.250e+08,-58.1469
3.263e+08,-54.3656
3.275e+08,-50.5844
3.288e+08,-49.4531
3.300e+08,-48.3188
3.312e+08,-48.6063
3.325e+08,-48.8937
3.338e+08,-52.8219
3.350e+08,-56.75
3.362e+08,-58.075
3.375e+08,-59.3969
3.388e+08,-56.7687
3.400e+08,-54.1406
3.413e+08,-53.4656
3.425e+08,-52.7875
3.438e+08,-51.2406
3.450e+08,-49.6906
3.462e+08,-50.7188
3.475e+08,-51.7437
3.488e+08,-52.0562
3.500e+08,-52.3687
3.512e+08,-51.9312
3.525e+08,-51.4906
3.538e+08,-51.0719
3.550e+08,-50.65
3.563e+08,-50.0938
3.575e+08,-49.5344
3.588e+08,-51.7437
3.600e+08,-53.95
3.613e+08,-58.9219
3.625e+08,-63.8906
3.638e+08,-58.9156
3.650e+08,-53.9406
3.662e+08,-61.4688
3.675e+08,-68.9938
3.688e+08,-59.9625
3.700e+08,-50.9312
3.712e+08,-48.5
3.725e+08,-46.0656
3.738e+08,-47.4469
3.750e+08,-48.825
3.763e+08,-48.5969
3.775e+08,-48.3656
3.788e+08,-49.6781
3.800e+08,-50.9906
3.813e+08,-52.1656
3.825e+08,-53.3375
3.838e+08,-53.2563
3.850e+08,-53.175
3.862e+08,-50.5938
3.875e+08,-48.0125
3.888e+08,-48.8062
3.900e+08,-49.5969
3.913e+08,-56.7875
3.925e+08,-63.975
3.938e+08,-65.425
3.950e+08,-66.8719
3.963e+08,-63.65
3.975e+08,-60.425
3.988e+08,-60.1125
4.000e+08,-59.8
4.012e+08,-59.0375
4.025e+08,-58.275
4.038e+08,-60.4656
4.050e+08,-62.6531
4.062e+08,-59.6437
4.075e+08,-56.6344
4.088e+08,-53.9813
4.100e+08,-51.3281
4.113e+08,-50.4312
4.125e+08,-49.5312
4.138e+08,-48.5469
4.150e+08,-47.5594
4.163e+08,-49.1531
4.175e+08,-50.7469
4.188e+08,-53.1281
4.200e+08,-55.5094
4.212e+08,-51.85
4.225e+08,-48.1906
4.238e+08,-47.2906
4.250e+08,-46.3875
4.262e+08,-49.3438
4.275e+08,-52.2969
4.288e+08,-53.8375
4.300e+08,-55.375
4.313e+08,-56.3906
4.325e+08,-57.4062
4.338e+08,-56.075
4.350e+08,-54.7406
4.363e+08,-54.0938
4.375e+08,-53.4469
4.388e+08,-56.8188
4.400e+08,-60.1875
4.412e+08,-60.6656
4.425e+08,-61.1406
4.438e+08,-63.5187
4.450e+08,-65.8969
4.463e+08,-60.8781
4.475e+08,-55.8563
4.488e+08,-56.2875
4.500e+08,-56.7188
4.513e+08,-55.4438
4.525e+08,-54.1688
4.538e+08,-51.425
4.550e+08,-48.6812
4.562e+08,-50.9562
4.575e+08,-53.2281
4.588e+08,-54.3219
4.600e+08,-55.4156
4.612e+08,-53.9156
4.625e+08,-52.4156
4.638e+08,-52.5562
4.650e+08,-52.6938
4.663e+08,-49.525
4.675e+08,-46.3531
4.688e+08,-46.425
4.700e+08,-46.4937
4.713e+08,-53.3438
4.725e+08,-60.1906
4.738e+08,-56.85
4.750e+08,-53.5063
4.762e+08,-53.4469
4.775e+08,-53.3875
4.788e+08,-56.0406
4.800e+08,-58.6938
4.813e+08,-59.4719
4.825e+08,-60.2469
4.838e+08,-59.0219
4.850e+08,-57.7969
4.863e+08,-64.7938
4.875e+08,-71.7906
4.888e+08,-62.8969
4.900e+08,-54.0031
4.912e+08,-54.8094
4.925e+08,-55.6125
4.938e+08,-60.0469
4.950e+08,-64.4781
4.962e+08,-61.7687
4.975e+08,-59.0594
4.988e+08,-59.6969
5.000e+08,-60.3344
5.013e+08,-60.0938
5.025e+08,-59.85
5.038e+08,-57.7
5.050e+08,-55.55
5.063e+08,-58.8406
5.075e+08,-62.1281
5.088e+08,-57.775
5.100e+08,-53.4188
5.112e+08,-51.1406
5.125e+08,-48.8625
5.138e+08,-48.5656
5.150e+08,-48.2687
5.163e+08,-48.1094
5.175e+08,-47.95
5.188e+08,-48.5875
5.200e+08,-49.225
5.213e+08,-51.6031
5.225e+08,-53.9781
5.238e+08,-58.3594
5.250e+08,-62.7375
5.263e+08,-58.95
5.275e+08,-55.1625
5.288e+08,-56.95
5.300e+08,-58.7344
5.312e+08,-65.2906
5.325e+08,-71.8438
5.338e+08,-62.0156
5.350e+08,-52.1875
5.363e+08,-51.4688
5.375e+08,-50.7469
5.388e+08,-51.3031
5.400e+08,-51.8563
5.412e+08,-50.3687
5.425e+08,-48.8781
5.438e+08,-52.5719
5.450e+08,-56.2656
5.462e+08,-58.7406
5.475e+08,-61.2156
5.488e+08,-58.6281
5.500e+08,-56.0375
5.513e+08,-59.6437
5.525e+08,-63.2469
5.538e+08,-64.2938
5.550e+08,-65.3406
5.562e+08,-59.5469
5.575e+08,-53.7531
